texte,text_norm,sentiment_pred,score_sentiment,incident,categorie_principale,categorie_secondaire,theme,score_categorie,methode_categorie,contradiction
ios app neg complexité collision an tiers moyenne pays de la loire téléphone je suis déçu,ios app neg complexité collision an tiers moyenne pays de la loire téléphone je suis déçu,Négatif,1.0,True,Inconnu,,Inconnu,0.2679389417171478,low_confidence,False
ios email pos authentification collision ans jeune conducteur faible auvergne rhône alpes app très satisfait,ios email pos authentification collision ans jeune conducteur faible auvergne rhône alpes app très satisfait,Positif,1.0,False,Autre,,Autre,0.0,non_incident,False
ios web neu photo collision ans tiers faible bourgogne franche comté email ça pourrait être mieux,ios web neu photo collision ans tiers faible bourgogne franche comté email ça pourrait être mieux,Neutre,0.0,False,Autre,,Autre,0.0,non_incident,False
android web pos lenteur collision ans tous risques moyenne bretagne app merci,android web pos lenteur collision ans tous risques moyenne bretagne app merci,Négatif,1.0,True,Performance / Lenteur,Technique / Bug / Fonctionnalité,Performance / Lenteur,0.3644016981124878,embeddings,False
ios app pos bug vol ans tiers faible bourgogne franche comté email merci,ios app pos bug vol ans tiers faible bourgogne franche comté email merci,Négatif,1.0,True,Technique / Bug / Fonctionnalité,,Technique / Bug / Fonctionnalité,0.46676015853881836,embeddings,False
web web neg photo collision ans jeune conducteur faible bretagne email je suis déçu,web web neg photo collision ans jeune conducteur faible bretagne email je suis déçu,Négatif,1.0,True,Inconnu,,Inconnu,0.21322917938232422,low_confidence,False
web app neg parcours bris de glace ans tiers faible hauts de france app je suis déçu,web app neg parcours bris de glace ans tiers faible hauts de france app je suis déçu,Négatif,1.0,True,Inconnu,,Inconnu,0.29579389095306396,low_confidence,False
ios web neg bug vol an tiers faible auvergne rhône alpes web je suis déçu,ios web neg bug vol an tiers faible auvergne rhône alpes web je suis déçu,Négatif,2.0,True,Technique / Bug / Fonctionnalité,,Technique / Bug / Fonctionnalité,0.48271194100379944,embeddings,False
android app pos authentification collision an tous risques faible paca téléphone très satisfait,android app pos authentification collision an tous risques faible paca téléphone très satisfait,Positif,1.0,False,Autre,,Autre,0.0,non_incident,False
android app pos parcours collision ans jeune conducteur moyenne paca app merci,android app pos parcours collision ans jeune conducteur moyenne paca app merci,Positif,1.0,False,Autre,,Autre,0.0,non_incident,False
ios app neg parcours collision ans tous risques faible grand est web très mécontent,ios app neg parcours collision ans tous risques faible grand est web très mécontent,Négatif,1.0,True,Technique / Bug / Fonctionnalité,,Technique / Bug / Fonctionnalité,0.397077739238739,embeddings,False
android app neg complexité vol ans tous risques forte île de france email très mécontent,android app neg complexité vol ans tous risques forte île de france email très mécontent,Négatif,1.0,True,Inconnu,,Inconnu,0.31428593397140503,low_confidence,False
web app neg authentification collision ans jeune conducteur faible pays de la loire web très mécontent,web app neg authentification collision ans jeune conducteur faible pays de la loire web très mécontent,Négatif,1.0,True,Compte / Connexion / Authentification,,Compte / Connexion / Authentification,1.0,keywords_fallback,False
