motif,situation,n
photo,blocage_parcours,842
photo,essais_multiples,612
photo,perte_temps,609
parcours,blocage_parcours,464
parcours,essais_multiples,415
parcours,perte_temps,392
photo,recours_support,269
lenteur,essais_multiples,259
lenteur,perte_temps,250
bug,perte_temps,191
bug,essais_multiples,191
complexité,perte_temps,148
bug,blocage_parcours,147
authentification,perte_temps,146
lenteur,blocage_parcours,134
authentification,essais_multiples,127
parcours,recours_support,126
complexité,essais_multiples,125
authentification,blocage_parcours,119
lenteur,recours_support,113
bug,recours_support,84
complexité,recours_support,79
authentification,recours_support,65
complexité,blocage_parcours,53
