motif,n_comments,rank,keyword,count,share_in_theme
photo,2989,1,perds,1180,0.3947808631649381
photo,2989,2,essais,1121,0.3750418200066912
photo,2989,3,bloque,1068,0.35731013716962196
photo,2989,4,photos,1001,0.33489461358313816
photo,2989,5,franchement,728,0.24355971896955503
photo,2989,6,malgre,612,0.20475075276012045
photo,2989,7,plusieurs,612,0.20475075276012045
photo,2989,8,navance,611,0.20441619270659084
photo,2989,9,temps,609,0.20374707259953162
photo,2989,10,fou,609,0.20374707259953162
photo,2989,11,letape,528,0.17664770826363332
photo,2989,12,justificatifs,528,0.17664770826363332
parcours,1965,1,perds,786,0.4
parcours,1965,2,entre,657,0.33435114503816793
parcours,1965,3,sinistre,621,0.31603053435114503
parcours,1965,4,franchement,520,0.26463104325699743
parcours,1965,5,malgre,415,0.21119592875318066
parcours,1965,6,plusieurs,415,0.21119592875318066
parcours,1965,7,essais,415,0.21119592875318066
parcours,1965,8,navance,396,0.2015267175572519
parcours,1965,9,bloque,392,0.1994910941475827
parcours,1965,10,temps,392,0.1994910941475827
parcours,1965,11,fou,389,0.19796437659033078
parcours,1965,12,partie,349,0.17760814249363868
lenteur,1331,1,perds,473,0.35537190082644626
lenteur,1331,2,chaque,472,0.3546205860255447
lenteur,1331,3,depuis,440,0.3305785123966942
lenteur,1331,4,met,419,0.3148009015777611
lenteur,1331,5,franchement,315,0.236664162283997
lenteur,1331,6,malgre,259,0.19459053343350863
lenteur,1331,7,plusieurs,259,0.19459053343350863
lenteur,1331,8,essais,259,0.19459053343350863
lenteur,1331,9,temps,250,0.18782870022539444
lenteur,1331,10,fou,250,0.18782870022539444
lenteur,1331,11,navance,247,0.1855747558226897
lenteur,1331,12,bloque,245,0.18407212622088656
bug,959,1,perds,376,0.3920750782064651
bug,959,2,passe,241,0.251303441084463
bug,959,3,franchement,216,0.22523461939520334
bug,959,4,bloque,191,0.1991657977059437
bug,959,5,temps,191,0.1991657977059437
bug,959,6,fou,191,0.1991657977059437
bug,959,7,malgre,191,0.1991657977059437
bug,959,8,plusieurs,191,0.1991657977059437
bug,959,9,essais,191,0.1991657977059437
bug,959,10,telephone,189,0.19708029197080293
bug,959,11,navance,174,0.18143899895724713
bug,959,12,mon,170,0.1772679874869656
authentification,708,1,perds,304,0.4293785310734463
authentification,708,2,bloque,269,0.3799435028248588
authentification,708,3,plusieurs,245,0.346045197740113
authentification,708,4,code,240,0.3389830508474576
authentification,708,5,narrive,234,0.3305084745762712
authentification,708,6,apres,223,0.3149717514124294
authentification,708,7,franchement,188,0.2655367231638418
authentification,708,8,passe,156,0.22033898305084745
authentification,708,9,navance,153,0.21610169491525424
authentification,708,10,temps,146,0.2062146892655367
authentification,708,11,fou,146,0.2062146892655367
authentification,708,12,lespace,134,0.18926553672316385
complexité,698,1,perds,310,0.44412607449856734
complexité,698,2,plusieurs,223,0.3194842406876791
complexité,698,3,franchement,183,0.2621776504297994
complexité,698,4,temps,148,0.21203438395415472
complexité,698,5,fou,148,0.21203438395415472
complexité,698,6,technique,141,0.2020057306590258
complexité,698,7,navance,141,0.2020057306590258
complexité,698,8,bloque,139,0.1991404011461318
complexité,698,9,petit,126,0.18051575931232092
complexité,698,10,impact,126,0.18051575931232092
complexité,698,11,malgre,125,0.17908309455587393
complexité,698,12,essais,125,0.17908309455587393
