motif,situation,canal,n
photo,blocage_parcours,App,568
photo,essais_multiples,App,353
photo,perte_temps,App,342
photo,blocage_parcours,Web,336
parcours,perte_temps,App,255
parcours,essais_multiples,App,232
photo,perte_temps,Web,209
photo,essais_multiples,Web,208
parcours,blocage_parcours,App,184
lenteur,perte_temps,App,172
bug,blocage_parcours,App,156
lenteur,essais_multiples,App,143
photo,recours_support,App,140
parcours,essais_multiples,Web,129
authentification,essais_multiples,App,122
parcours,perte_temps,Web,120
bug,essais_multiples,App,106
bug,perte_temps,App,105
photo,blocage_parcours,Téléphone,103
authentification,perte_temps,App,94
bug,blocage_parcours,Web,87
lenteur,essais_multiples,Web,87
parcours,blocage_parcours,Web,82
complexité,perte_temps,App,81
lenteur,perte_temps,Web,80
authentification,essais_multiples,Web,79
photo,recours_support,Web,77
bug,perte_temps,Web,69
lenteur,blocage_parcours,App,69
complexité,essais_multiples,App,66
photo,perte_temps,Téléphone,64
parcours,recours_support,App,64
bug,essais_multiples,Web,60
complexité,perte_temps,Web,52
photo,essais_multiples,Téléphone,50
parcours,perte_temps,Téléphone,48
lenteur,recours_support,App,47
authentification,perte_temps,Web,47
photo,blocage_parcours,Email,46
authentification,blocage_parcours,App,43
bug,recours_support,App,40
parcours,essais_multiples,Téléphone,37
complexité,recours_support,App,37
complexité,essais_multiples,Web,36
lenteur,recours_support,Web,36
parcours,blocage_parcours,Téléphone,33
authentification,recours_support,App,32
bug,blocage_parcours,Téléphone,31
lenteur,perte_temps,Téléphone,30
