motif,situation,contexte,n
photo,blocage_parcours,collision,559
photo,essais_multiples,collision,348
photo,perte_temps,collision,346
parcours,essais_multiples,collision,231
parcours,perte_temps,collision,222
photo,blocage_parcours,bris_de_glace,216
lenteur,perte_temps,collision,156
parcours,blocage_parcours,collision,153
lenteur,essais_multiples,collision,145
bug,blocage_parcours,collision,144
photo,perte_temps,bris_de_glace,143
photo,essais_multiples,bris_de_glace,137
photo,recours_support,collision,126
authentification,essais_multiples,collision,107
photo,blocage_parcours,vol,106
photo,blocage_parcours,catastrophe_naturelle,106
parcours,perte_temps,bris_de_glace,101
bug,perte_temps,collision,96
bug,essais_multiples,collision,90
complexité,perte_temps,collision,87
parcours,essais_multiples,bris_de_glace,85
photo,blocage_parcours,incendie,79
authentification,perte_temps,collision,77
photo,perte_temps,vol,73
lenteur,perte_temps,bris_de_glace,71
parcours,blocage_parcours,bris_de_glace,70
bug,blocage_parcours,bris_de_glace,69
photo,essais_multiples,catastrophe_naturelle,63
complexité,essais_multiples,collision,63
lenteur,blocage_parcours,collision,60
photo,essais_multiples,vol,57
photo,perte_temps,catastrophe_naturelle,56
authentification,essais_multiples,bris_de_glace,55
lenteur,essais_multiples,bris_de_glace,54
photo,recours_support,bris_de_glace,54
bug,perte_temps,bris_de_glace,53
parcours,recours_support,collision,50
lenteur,recours_support,collision,47
bug,essais_multiples,bris_de_glace,44
parcours,blocage_parcours,catastrophe_naturelle,44
parcours,essais_multiples,catastrophe_naturelle,43
parcours,perte_temps,catastrophe_naturelle,43
bug,recours_support,collision,40
authentification,blocage_parcours,collision,39
photo,recours_support,catastrophe_naturelle,39
authentification,perte_temps,bris_de_glace,38
parcours,perte_temps,vol,38
bug,blocage_parcours,catastrophe_naturelle,37
photo,essais_multiples,incendie,36
complexité,recours_support,collision,35
parcours,perte_temps,incendie,31
complexité,perte_temps,bris_de_glace,30
parcours,essais_multiples,incendie,30
parcours,blocage_parcours,vol,30
