motif,situation,device,n
photo,blocage_parcours,Android,480
photo,blocage_parcours,iOS,350
photo,essais_multiples,Android,288
photo,perte_temps,Android,280
photo,blocage_parcours,Web,236
photo,perte_temps,iOS,227
photo,essais_multiples,iOS,226
parcours,essais_multiples,Android,203
parcours,perte_temps,Android,199
parcours,blocage_parcours,Android,147
bug,blocage_parcours,Android,146
lenteur,perte_temps,Android,143
parcours,perte_temps,iOS,141
photo,perte_temps,Web,139
lenteur,essais_multiples,Android,131
photo,essais_multiples,Web,127
photo,recours_support,Android,124
parcours,essais_multiples,iOS,123
authentification,essais_multiples,Android,115
parcours,blocage_parcours,iOS,102
bug,blocage_parcours,iOS,97
parcours,perte_temps,Web,95
bug,perte_temps,Android,94
lenteur,perte_temps,iOS,91
parcours,essais_multiples,Web,89
bug,essais_multiples,Android,88
lenteur,essais_multiples,iOS,83
photo,recours_support,iOS,83
authentification,perte_temps,Android,81
complexité,perte_temps,Android,77
bug,perte_temps,iOS,65
complexité,essais_multiples,Android,65
parcours,blocage_parcours,Web,63
bug,essais_multiples,iOS,62
lenteur,perte_temps,Web,59
authentification,essais_multiples,iOS,56
lenteur,blocage_parcours,Android,55
bug,blocage_parcours,Web,51
complexité,perte_temps,iOS,51
authentification,essais_multiples,Web,51
photo,recours_support,Web,49
authentification,perte_temps,iOS,45
lenteur,essais_multiples,Web,45
bug,perte_temps,Web,44
parcours,recours_support,iOS,44
lenteur,recours_support,Android,43
bug,essais_multiples,Web,41
authentification,perte_temps,Web,38
parcours,recours_support,Android,37
authentification,blocage_parcours,Android,36
complexité,essais_multiples,iOS,34
lenteur,blocage_parcours,iOS,34
bug,recours_support,Android,33
authentification,blocage_parcours,iOS,33
bug,recours_support,iOS,31
complexité,essais_multiples,Web,30
