motif,situation,support,n
photo,blocage_parcours,App,427
photo,blocage_parcours,Web,278
photo,essais_multiples,App,277
photo,perte_temps,App,242
photo,blocage_parcours,Téléphone,204
parcours,essais_multiples,App,192
parcours,perte_temps,App,167
photo,perte_temps,Web,166
photo,essais_multiples,Web,151
photo,perte_temps,Téléphone,136
bug,blocage_parcours,App,129
photo,essais_multiples,Téléphone,121
parcours,blocage_parcours,App,119
lenteur,perte_temps,App,119
lenteur,essais_multiples,App,114
photo,blocage_parcours,Email,106
photo,recours_support,App,105
parcours,perte_temps,Téléphone,101
parcours,perte_temps,Web,100
bug,perte_temps,App,91
bug,essais_multiples,App,85
authentification,essais_multiples,App,84
parcours,essais_multiples,Téléphone,84
parcours,essais_multiples,Web,81
parcours,blocage_parcours,Web,78
bug,blocage_parcours,Web,75
parcours,blocage_parcours,Téléphone,71
authentification,perte_temps,App,67
lenteur,perte_temps,Téléphone,66
photo,perte_temps,Email,62
lenteur,essais_multiples,Web,62
lenteur,perte_temps,Web,61
photo,recours_support,Web,61
photo,essais_multiples,Email,59
complexité,perte_temps,App,59
bug,blocage_parcours,Téléphone,59
authentification,essais_multiples,Téléphone,52
complexité,essais_multiples,App,52
lenteur,essais_multiples,Téléphone,51
bug,essais_multiples,Web,51
photo,blocage_parcours,Agence,51
parcours,perte_temps,Email,51
photo,recours_support,Téléphone,50
parcours,recours_support,App,49
authentification,essais_multiples,Web,49
bug,perte_temps,Web,46
complexité,perte_temps,Web,44
lenteur,blocage_parcours,App,43
photo,perte_temps,Agence,40
bug,perte_temps,Téléphone,40
authentification,perte_temps,Téléphone,38
parcours,essais_multiples,Email,36
authentification,blocage_parcours,App,35
bug,essais_multiples,Téléphone,35
complexité,essais_multiples,Web,33
photo,essais_multiples,Agence,33
bug,recours_support,App,32
authentification,essais_multiples,Email,31
authentification,perte_temps,Web,31
complexité,recours_support,App,31
lenteur,perte_temps,Email,30
complexité,perte_temps,Téléphone,30
lenteur,blocage_parcours,Web,30
