motif,situation,urgence,n
photo,blocage_parcours,non_renseigne,1066
photo,perte_temps,non_renseigne,646
photo,essais_multiples,non_renseigne,641
parcours,perte_temps,non_renseigne,435
parcours,essais_multiples,non_renseigne,415
parcours,blocage_parcours,non_renseigne,312
bug,blocage_parcours,non_renseigne,294
lenteur,perte_temps,non_renseigne,293
lenteur,essais_multiples,non_renseigne,259
photo,recours_support,non_renseigne,256
authentification,essais_multiples,non_renseigne,222
bug,perte_temps,non_renseigne,203
bug,essais_multiples,non_renseigne,191
authentification,perte_temps,non_renseigne,164
complexité,perte_temps,non_renseigne,156
complexité,essais_multiples,non_renseigne,129
lenteur,blocage_parcours,non_renseigne,113
parcours,recours_support,non_renseigne,99
lenteur,recours_support,non_renseigne,97
bug,recours_support,non_renseigne,80
authentification,blocage_parcours,non_renseigne,79
complexité,recours_support,non_renseigne,70
authentification,recours_support,non_renseigne,60
complexité,blocage_parcours,non_renseigne,45
