motif,situation,dimension,value,n
photo,blocage_parcours,urgence,non_renseigne,1066
photo,perte_temps,urgence,non_renseigne,646
photo,essais_multiples,urgence,non_renseigne,641
photo,blocage_parcours,canal,App,568
photo,blocage_parcours,contexte,collision,559
photo,blocage_parcours,device,Android,480
parcours,perte_temps,urgence,non_renseigne,435
photo,blocage_parcours,support,App,427
parcours,essais_multiples,urgence,non_renseigne,415
photo,essais_multiples,canal,App,353
photo,blocage_parcours,device,iOS,350
photo,essais_multiples,contexte,collision,348
photo,perte_temps,contexte,collision,346
photo,perte_temps,canal,App,342
photo,blocage_parcours,canal,Web,336
parcours,blocage_parcours,urgence,non_renseigne,312
bug,blocage_parcours,urgence,non_renseigne,294
lenteur,perte_temps,urgence,non_renseigne,293
photo,essais_multiples,device,Android,288
photo,perte_temps,device,Android,280
photo,blocage_parcours,support,Web,278
photo,essais_multiples,support,App,277
lenteur,essais_multiples,urgence,non_renseigne,259
photo,recours_support,urgence,non_renseigne,256
parcours,perte_temps,canal,App,255
photo,perte_temps,support,App,242
photo,blocage_parcours,device,Web,236
parcours,essais_multiples,canal,App,232
parcours,essais_multiples,contexte,collision,231
photo,perte_temps,device,iOS,227
photo,essais_multiples,device,iOS,226
parcours,perte_temps,contexte,collision,222
authentification,essais_multiples,urgence,non_renseigne,222
photo,blocage_parcours,contexte,bris_de_glace,216
photo,perte_temps,canal,Web,209
photo,essais_multiples,canal,Web,208
photo,blocage_parcours,support,Téléphone,204
parcours,essais_multiples,device,Android,203
bug,perte_temps,urgence,non_renseigne,203
parcours,perte_temps,device,Android,199
photo,blocage_parcours,region,Île-de-France,196
parcours,essais_multiples,support,App,192
bug,essais_multiples,urgence,non_renseigne,191
parcours,blocage_parcours,canal,App,184
lenteur,perte_temps,canal,App,172
parcours,perte_temps,support,App,167
photo,perte_temps,support,Web,166
authentification,perte_temps,urgence,non_renseigne,164
complexité,perte_temps,urgence,non_renseigne,156
lenteur,perte_temps,contexte,collision,156
bug,blocage_parcours,canal,App,156
parcours,blocage_parcours,contexte,collision,153
photo,essais_multiples,support,Web,151
parcours,blocage_parcours,device,Android,147
bug,blocage_parcours,device,Android,146
lenteur,essais_multiples,contexte,collision,145
bug,blocage_parcours,contexte,collision,144
photo,perte_temps,contexte,bris_de_glace,143
lenteur,perte_temps,device,Android,143
lenteur,essais_multiples,canal,App,143
photo,blocage_parcours,region,Auvergne-Rhône-Alpes,142
parcours,perte_temps,device,iOS,141
photo,recours_support,canal,App,140
photo,perte_temps,device,Web,139
photo,essais_multiples,contexte,bris_de_glace,137
photo,perte_temps,support,Téléphone,136
photo,essais_multiples,region,Île-de-France,133
lenteur,essais_multiples,device,Android,131
bug,blocage_parcours,support,App,129
parcours,essais_multiples,canal,Web,129
complexité,essais_multiples,urgence,non_renseigne,129
photo,essais_multiples,device,Web,127
photo,recours_support,contexte,collision,126
photo,recours_support,device,Android,124
parcours,essais_multiples,device,iOS,123
authentification,essais_multiples,canal,App,122
photo,essais_multiples,support,Téléphone,121
parcours,perte_temps,canal,Web,120
parcours,blocage_parcours,support,App,119
photo,perte_temps,region,Île-de-France,119
lenteur,perte_temps,support,App,119
authentification,essais_multiples,device,Android,115
lenteur,essais_multiples,support,App,114
lenteur,blocage_parcours,urgence,non_renseigne,113
authentification,essais_multiples,contexte,collision,107
photo,blocage_parcours,support,Email,106
photo,blocage_parcours,contexte,vol,106
bug,essais_multiples,canal,App,106
photo,blocage_parcours,contexte,catastrophe_naturelle,106
photo,blocage_parcours,region,Nouvelle-Aquitaine,105
bug,perte_temps,canal,App,105
photo,recours_support,support,App,105
photo,blocage_parcours,canal,Téléphone,103
parcours,blocage_parcours,device,iOS,102
parcours,perte_temps,contexte,bris_de_glace,101
parcours,perte_temps,support,Téléphone,101
parcours,perte_temps,support,Web,100
parcours,recours_support,urgence,non_renseigne,99
