month,motif,n
2024-01-01,photo,249
2024-01-01,parcours,165
2024-01-01,lenteur,135
2024-01-01,bug,73
2024-01-01,authentification,66
2024-01-01,complexité,55
2024-02-01,photo,237
2024-02-01,parcours,157
2024-02-01,lenteur,110
2024-02-01,bug,69
2024-02-01,complexité,68
2024-02-01,authentification,56
2024-03-01,photo,244
2024-03-01,parcours,181
2024-03-01,lenteur,108
2024-03-01,bug,91
2024-03-01,authentification,54
2024-03-01,complexité,46
2024-04-01,photo,244
2024-04-01,parcours,153
2024-04-01,lenteur,113
2024-04-01,bug,74
2024-04-01,authentification,54
2024-04-01,complexité,51
2024-05-01,photo,278
2024-05-01,parcours,157
2024-05-01,lenteur,105
2024-05-01,bug,84
2024-05-01,complexité,74
2024-05-01,authentification,69
2024-06-01,photo,245
2024-06-01,parcours,140
2024-06-01,lenteur,104
2024-06-01,bug,84
2024-06-01,complexité,52
2024-06-01,authentification,44
2024-07-01,photo,260
2024-07-01,parcours,159
2024-07-01,lenteur,114
2024-07-01,bug,85
2024-07-01,authentification,73
2024-07-01,complexité,55
2024-08-01,photo,256
2024-08-01,parcours,178
2024-08-01,lenteur,115
2024-08-01,bug,87
2024-08-01,complexité,55
2024-08-01,authentification,51
2024-09-01,photo,231
2024-09-01,parcours,161
2024-09-01,lenteur,98
2024-09-01,bug,83
2024-09-01,authentification,61
2024-09-01,complexité,58
2024-10-01,photo,242
2024-10-01,parcours,165
2024-10-01,lenteur,107
2024-10-01,bug,68
2024-10-01,authentification,60
2024-10-01,complexité,58
2024-11-01,photo,254
2024-11-01,parcours,183
2024-11-01,lenteur,113
2024-11-01,authentification,73
2024-11-01,bug,71
2024-11-01,complexité,59
2024-12-01,photo,249
2024-12-01,parcours,166
2024-12-01,lenteur,109
2024-12-01,bug,90
2024-12-01,complexité,67
2024-12-01,authentification,47
