month,situation,n
2024-01-01,blocage_parcours,165
2024-01-01,essais_multiples,165
2024-01-01,perte_temps,152
2024-01-01,recours_support,56
2024-02-01,blocage_parcours,152
2024-02-01,essais_multiples,147
2024-02-01,perte_temps,142
2024-02-01,recours_support,60
2024-03-01,blocage_parcours,163
2024-03-01,essais_multiples,162
2024-03-01,perte_temps,144
2024-03-01,recours_support,57
2024-04-01,blocage_parcours,155
2024-04-01,perte_temps,150
2024-04-01,essais_multiples,137
2024-04-01,recours_support,62
2024-05-01,perte_temps,196
2024-05-01,essais_multiples,188
2024-05-01,blocage_parcours,167
2024-05-01,recours_support,58
2024-06-01,perte_temps,157
2024-06-01,blocage_parcours,141
2024-06-01,essais_multiples,125
2024-06-01,recours_support,51
2024-07-01,blocage_parcours,168
2024-07-01,essais_multiples,167
2024-07-01,perte_temps,155
2024-07-01,recours_support,54
2024-08-01,perte_temps,180
2024-08-01,essais_multiples,161
2024-08-01,blocage_parcours,156
2024-08-01,recours_support,58
2024-09-01,blocage_parcours,162
2024-09-01,essais_multiples,152
2024-09-01,perte_temps,149
2024-09-01,recours_support,54
2024-10-01,essais_multiples,155
2024-10-01,blocage_parcours,150
2024-10-01,perte_temps,147
2024-10-01,recours_support,57
2024-11-01,blocage_parcours,173
2024-11-01,perte_temps,168
2024-11-01,essais_multiples,153
2024-11-01,recours_support,45
2024-12-01,blocage_parcours,157
2024-12-01,perte_temps,157
2024-12-01,essais_multiples,145
2024-12-01,recours_support,50
