motif,situation,n_recent,n_prev,delta,growth_ratio,recent_months,prev_months
bug,essais_multiples,49,36,13,1.3513513513513513,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
parcours,blocage_parcours,91,71,20,1.2777777777777777,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
bug,recours_support,24,19,5,1.25,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
authentification,perte_temps,44,36,8,1.2162162162162162,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
authentification,blocage_parcours,22,20,2,1.0952380952380953,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
photo,perte_temps,168,154,14,1.0903225806451613,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
parcours,recours_support,23,22,1,1.0434782608695652,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
complexité,essais_multiples,29,28,1,1.0344827586206897,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
lenteur,perte_temps,73,72,1,1.0136986301369864,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
lenteur,essais_multiples,66,66,0,1.0,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
photo,blocage_parcours,267,273,-6,0.9781021897810219,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
complexité,perte_temps,43,44,-1,0.9777777777777777,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
parcours,perte_temps,109,117,-8,0.9322033898305084,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
parcours,essais_multiples,112,124,-12,0.904,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
authentification,essais_multiples,60,67,-7,0.8970588235294118,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
photo,recours_support,57,65,-8,0.8787878787878788,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
photo,essais_multiples,137,159,-22,0.8625,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
lenteur,recours_support,20,24,-4,0.84,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
bug,blocage_parcours,66,79,-13,0.8375,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
lenteur,blocage_parcours,23,34,-11,0.6857142857142857,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
bug,perte_temps,35,61,-26,0.5806451612903226,"2024-10-01, 2024-11-01, 2024-12-01","2024-07-01, 2024-08-01, 2024-09-01"
