motif,situation,n,n_comments,business_score_0_100,share_in_motif,business_score_item_0_100
photo,blocage_parcours,842,2989,69.92062864317109,0.2816995650719304,19.696610678337255
photo,essais_multiples,612,2989,69.92062864317109,0.20475075276012045,14.31630134815012
photo,perte_temps,609,2989,69.92062864317109,0.20374707259953162,14.24612340036507
parcours,blocage_parcours,464,1965,58.05922595351832,0.2361323155216285,13.709659461797711
parcours,essais_multiples,415,1965,58.05922595351832,0.21119592875318066,12.261872147944073
parcours,perte_temps,392,1965,58.05922595351832,0.1994910941475827,11.582298510829101
complexité,perte_temps,148,698,48.34638881159683,0.21203438395415472,10.251096768074973
complexité,essais_multiples,125,698,48.34638881159683,0.17908309455587393,8.65802091898224
authentification,perte_temps,146,708,40.605387206632685,0.2062146892655367,8.373427305322558
authentification,essais_multiples,127,708,40.605387206632685,0.17937853107344634,7.283734710794281
authentification,blocage_parcours,119,708,40.605387206632685,0.16807909604519775,6.8249167762560585
photo,recours_support,269,2989,69.92062864317109,0.0899966543994647,6.292622651392781
bug,essais_multiples,191,959,29.970593635696652,0.1991657977059437,5.969117189174203
bug,perte_temps,191,959,29.970593635696652,0.1991657977059437,5.969117189174203
complexité,recours_support,79,698,48.34638881159683,0.11318051575931232,5.471869220796776
lenteur,essais_multiples,259,1331,25.670452558056887,0.19459053343350863,4.995227056751866
lenteur,perte_temps,250,1331,25.670452558056887,0.18782870022539444,4.821647738177477
bug,blocage_parcours,147,959,29.970593635696652,0.15328467153284672,4.594032601092188
authentification,recours_support,65,708,40.605387206632685,0.09180790960451977,3.727895718123057
parcours,recours_support,126,1965,58.05922595351832,0.06412213740458016,3.7228816641950684
complexité,blocage_parcours,53,698,48.34638881159683,0.07593123209169055,3.67100086964847
bug,recours_support,84,959,29.970593635696652,0.08759124087591241,2.625161486338393
lenteur,blocage_parcours,134,1331,25.670452558056887,0.10067618332081142,2.5844031876631277
lenteur,recours_support,113,1331,25.670452558056887,0.08489857250187828,2.179384777656219
