word_a,word_b,count
perds,temps,1736
fou,perds,1733
fou,temps,1733
essais,plusieurs,1729
essais,malgre,1729
malgre,plusieurs,1729
n'avance,rien,1722
perds,tout,1715
bloque,encore,1681
bol,ras,1070
c'est,inadmissible,995
franchement,perds,872
c'est,perds,868
c'est,passe,846
rond,tourne,801
bloque,essais,786
limite,passe,778
c'est,limite,778
bloque,perds,768
amelioration,j'attends,757
support,via,736
bloque,tout,731
m'y,reprendre,730
j'ai,reprendre,730
j'ai,m'y,730
final,j'ai,722
final,reussi,722
j'ai,reussi,722
essais,perds,703
manque,simplicite,692
bloque,plusieurs,689
bloque,c'est,673
fini,j'ai,672
essais,rien,668
merci,perds,668
merci,quand,660
bloque,malgre,653
bonne,journee,652
meme,merci,647
essais,n'avance,645
c'est,essais,641
bloque,franchement,641
encore,essais,640
c'est,j'ai,635
reessayer,vais,632
essais,temps,631
plusieurs,rien,631
franchement,tout,630
essais,fou,630
appeler,fini,629
appeler,j'ai,629
perds,plusieurs,625
devient,penible,623
corriger,merci,617
n'avance,plusieurs,608
aide,support,605
aide,via,605
essais,franchement,604
merci,tout,603
malgre,rien,601
decu,perds,601
meme,quand,600
perds,rien,600
plusieurs,temps,599
fou,plusieurs,598
bloque,photos,597
c'est,serieux,597
c'est,mitige,594
bol,perds,592
rien,tout,592
perds,ras,592
encore,plusieurs,590
corriger,vite,589
merci,vite,589
encore,tout,588
c'est,plusieurs,580
malgre,n'avance,578
apres,essais,576
malgre,perds,573
malgre,temps,573
fou,malgre,572
encore,perds,570
temps,tout,569
perds,quand,568
fou,tout,567
encore,malgre,565
ira,j'espere,563
c'est,rien,561
n'avance,tout,559
inadmissible,perds,557
meme,perds,555
reessayer,tard,552
tard,vais,552
bon,terrible,550
franchement,rien,549
mecontent,perds,546
n'avance,perds,545
franchement,plusieurs,543
moment,valider,543
mieux,pourrait,539
c'est,tout,537
c'est,temps,537
c'est,fou,536
encore,franchement,536
franchement,j'ai,530
justificatifs,l'etape,528
fou,franchement,527
c'est,malgre,527
franchement,temps,527
franchement,n'avance,521
j'espere,mieux,519
ira,mieux,519
j'ai,j'attends,515
