word_a,word_b,count
perds,temps,1736
fou,perds,1733
fou,temps,1733
malgre,plusieurs,1729
essais,plusieurs,1729
essais,malgre,1729
bol,ras,1070
franchement,perds,872
rond,tourne,801
bloque,essais,786
limite,passe,778
bloque,perds,768
amelioration,jattends,757
support,via,736
final,reussi,722
essais,perds,703
manque,simplicite,692
bloque,plusieurs,689
bloque,malgre,653
bonne,journee,652
essais,navance,645
bloque,franchement,641
essais,temps,631
essais,fou,630
appeler,fini,629
perds,plusieurs,625
devient,penible,623
navance,plusieurs,608
aide,via,605
aide,support,605
essais,franchement,604
plus,reessayer,603
decu,perds,601
plusieurs,temps,599
fou,plusieurs,598
bloque,photos,597
bol,perds,592
perds,ras,592
corriger,vite,589
malgre,navance,578
apres,essais,576
malgre,temps,573
malgre,perds,573
fou,malgre,572
ira,jespere,563
inadmissible,perds,557
mecontent,perds,546
navance,perds,545
moment,valider,543
franchement,plusieurs,543
justificatifs,letape,528
fou,franchement,527
franchement,temps,527
franchement,navance,521
ira,mieux,519
jespere,mieux,519
franchement,malgre,506
essais,ras,407
bol,essais,407
bloque,decu,399
bref,perds,393
bol,plusieurs,390
plusieurs,ras,390
bloque,ras,387
bloque,bol,387
bloque,inadmissible,383
decu,essais,379
bloque,mecontent,379
essais,inadmissible,377
fini,perds,376
malgre,ras,373
bol,malgre,373
devient,perds,371
bol,navance,371
navance,ras,371
essais,mecontent,369
bol,temps,363
bol,fou,363
fou,ras,363
ras,temps,363
entre,sinistre,363
mecontent,plusieurs,360
decu,temps,359
decu,fou,357
inadmissible,plusieurs,356
perds,reessayer,350
penible,perds,350
jespere,perds,349
decu,plusieurs,349
coup,perds,348
perds,photos,345
mecontent,navance,342
journee,perds,341
bonne,perds,341
inadmissible,malgre,340
malgre,mecontent,339
honnetement,perds,338
essais,photos,338
inadmissible,temps,337
fou,inadmissible,336
appeler,perds,336
decu,malgre,335
decu,navance,334
corriger,perds,326
perds,plus,324
mecontent,temps,324
fou,mecontent,324
apres,perds,323
inadmissible,navance,321
perds,serieux,304
perds,vite,299
apres,bloque,297
ira,perds,291
passe,support,290
bloque,bref,286
